contest_id,contest_name,index,problem_name,tags,start_time,end_time,link
1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),A,Upload More RAM,"['greedy', 'math']",2024.6.30 14:35,2024.6.30 17:35,https://codeforces.com/contest/1987/problem/A
1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),B,K-Sort,['greedy'],2024.6.30 14:35,2024.6.30 17:35,https://codeforces.com/contest/1987/problem/B
1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),C,Basil's Garden,"['dp', 'greedy']",2024.6.30 14:35,2024.6.30 17:35,https://codeforces.com/contest/1987/problem/C
1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),D,World is Mine,"['dp', 'games']",2024.6.30 14:35,2024.6.30 17:35,https://codeforces.com/contest/1987/problem/D
1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),E,Wonderful Tree!,"['brute force', 'data structures', 'dfs and similar', 'dp', 'dsu', 'flows', 'greedy', 'trees']",2024.6.30 14:35,2024.6.30 17:35,https://codeforces.com/contest/1987/problem/E
1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),F1,Interesting Problem (Easy Version),['dp'],2024.6.30 14:35,2024.6.30 17:35,https://codeforces.com/contest/1987/problem/F1
1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),F2,Interesting Problem (Hard Version),['dp'],2024.6.30 14:35,2024.6.30 17:35,https://codeforces.com/contest/1987/problem/F2
1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),G1,Spinning Round (Easy Version),"['divide and conquer', 'dp', 'trees']",2024.6.30 14:35,2024.6.30 17:35,https://codeforces.com/contest/1987/problem/G1
1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),G2,Spinning Round (Hard Version),"['divide and conquer', 'dp', 'trees']",2024.6.30 14:35,2024.6.30 17:35,https://codeforces.com/contest/1987/problem/G2
1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),H,Fumo Temple,['interactive'],2024.6.30 14:35,2024.6.30 17:35,https://codeforces.com/contest/1987/problem/H
1989,Educational Codeforces Round 167 (Rated for Div. 2),A,Catch the Coin,"['fft', 'flows', 'implementation']",2024.6.27 14:35,2024.6.27 16:35,https://codeforces.com/contest/1989/problem/A
1989,Educational Codeforces Round 167 (Rated for Div. 2),B,Substring and Subsequence,"['brute force', 'greedy', 'strings']",2024.6.27 14:35,2024.6.27 16:35,https://codeforces.com/contest/1989/problem/B
